,aclose
2004-12-31,58.2555
2005-01-07,56.6009
2005-01-14,55.6081
2005-01-21,54.5916
2005-01-28,54.893
2005-02-04,55.8503
2005-02-11,55.2407
2005-02-18,55.223
2005-02-25,54.9447
2005-03-04,54.6901
2005-03-11,54.1809
2005-03-18,52.8606
2005-03-24,53.7013
2005-04-01,53.5474
2005-04-08,51.8659
2005-04-15,45.4123
2005-04-22,43.938
2005-04-29,45.2228
2005-05-06,44.6781
2005-05-13,43.4314
2005-05-20,45.3608
2005-05-27,45.7704
2005-06-03,44.9927
2005-06-10,44.3872
2005-06-17,45.3489
2005-06-24,43.936
2005-07-01,44.3278
2005-07-08,47.0764
2005-07-15,48.9049
2005-07-22,50.1278
2005-07-29,49.546
2005-08-05,49.4867
2005-08-12,48.9091
2005-08-19,49.2483
2005-08-26,47.8321
2005-09-02,47.2846
2005-09-09,48.4628
2005-09-16,47.8023
2005-09-23,46.4158
2005-09-30,47.7369
2005-10-07,47.9035
2005-10-14,49.0044
2005-10-21,49.5875
2005-10-28,48.4509
2005-11-04,49.3912
2005-11-11,50.4345
2005-11-18,52.3553
2005-11-25,52.9697
2005-12-02,52.8802
2005-12-09,51.8781
2005-12-16,49.7307
2005-12-23,49.7963
2005-12-30,49.0328
2006-01-06,50.6731
2006-01-13,49.6114
2006-01-20,48.5317
2006-01-27,48.3289
2006-02-03,47.7025
2006-02-10,48.6339
2006-02-17,48.2631
2006-02-24,47.8984
2006-03-03,47.8146
2006-03-10,48.7774
2006-03-17,49.8119
2006-03-24,49.8478
2006-03-31,49.3156
2006-04-07,49.3216
2006-04-13,49.0226
2006-04-21,48.8312
2006-04-28,49.2378
2006-05-05,49.6205
2006-05-12,49.4461
2006-05-19,48.1797
2006-05-26,48.4618
2006-06-02,47.7236
2006-06-09,46.8174
2006-06-16,46.7814
2006-06-23,46.2713
2006-06-30,46.1032
2006-07-07,45.8632
2006-07-14,44.1528
2006-07-21,44.927
2006-07-28,46.1873
2006-08-04,45.5571
2006-08-11,45.4794
2006-08-18,48.1427
2006-08-25,48.1306
2006-09-01,49.0525
2006-09-08,48.6006
2006-09-15,49.9744
2006-09-22,48.932
2006-09-29,49.3718
2006-10-06,50.0949
2006-10-13,51.8663
2006-10-20,54.5175
2006-10-27,54.6862
2006-11-03,55.0778
2006-11-10,55.4679
2006-11-17,56.7071
2006-11-24,56.429
2006-12-01,55.1596
2006-12-08,56.7373
2006-12-15,57.6078
2006-12-22,57.5775
2006-12-29,58.7261
2007-01-05,58.8893
2007-01-12,60.0499
2007-01-19,58.1337
2007-01-26,58.9074
2007-02-02,59.9471
2007-02-09,59.7519
2007-02-16,60.0187
2007-02-23,59.2547
2007-03-02,55.1136
2007-03-09,56.5566
2007-03-16,56.5385
2007-03-23,57.6177
2007-03-30,57.1508
2007-04-05,58.5211
2007-04-13,57.5571
2007-04-20,57.3448
2007-04-27,61.3404
2007-05-04,62.4257
2007-05-11,64.5056
2007-05-18,65.729
2007-05-25,64.0187
2007-06-01,64.8465
2007-06-08,62.7344
2007-06-15,63.9639
2007-06-22,63.5683
2007-06-29,64.0613
2007-07-06,66.362
2007-07-13,66.1003
2007-07-20,69.8801
2007-07-27,70.3731
2007-08-03,68.1028
2007-08-10,68.802
2007-08-17,67.7392
2007-08-24,69.1685
2007-08-31,71.2758
2007-09-07,70.5795
2007-09-14,70.3229
2007-09-21,71.3308
2007-09-28,71.9538
2007-10-05,71.0376
2007-10-12,71.9599
2007-10-19,68.5821
2007-10-26,69.4678
2007-11-02,69.9931
2007-11-09,61.4571
2007-11-16,64.2376
2007-11-23,63.784
2007-11-30,64.4767
2007-12-07,66.7326
2007-12-14,64.8384
2007-12-21,68.0751
2007-12-28,67.4866
2008-01-04,61.994
2008-01-11,59.873
2008-01-18,63.3855
2008-01-25,64.0721
2008-02-01,66.8674
2008-02-08,63.5503
2008-02-15,65.3287
2008-02-22,66.5041
2008-02-29,70.0672
2008-03-07,70.1164
2008-03-14,70.9103
2008-03-20,72.8179
2008-03-28,70.5041
2008-04-04,71.2364
2008-04-11,71.3841
2008-04-18,76.5533
2008-04-25,75.741
2008-05-02,75.8025
2008-05-09,76.6515
2008-05-16,78.9747
2008-05-23,76.738
2008-05-30,79.9694
2008-06-06,77.1953
2008-06-13,77.9429
2008-06-20,75.836
2008-06-27,74.1739
2008-07-03,73.8588
2008-07-11,75.4529
2008-07-18,80.2536
2008-07-25,79.4134
2008-08-01,78.2456
2008-08-08,79.8945
2008-08-15,78.3748
2008-08-22,77.4879
2008-08-29,75.5031
2008-09-05,70.9132
2008-09-12,73.7912
2008-09-19,73.7168
2008-09-26,74.0703
2008-10-03,64.1587
2008-10-10,54.427
2008-10-17,56.3063
2008-10-24,50.904
2008-10-31,57.6647
2008-11-07,53.8232
2008-11-14,50.1173
2008-11-21,46.7171
2008-11-28,50.9096
2008-12-05,50.2795
2008-12-12,51.284
2008-12-19,52.1075
2008-12-26,50.7412
2009-01-02,54.5095
2009-01-09,52.8437
2009-01-16,52.981
2009-01-23,55.8321
2009-01-30,57.1797
2009-02-06,60.293
2009-02-13,58.8506
2009-02-20,55.6835
2009-02-27,57.7154
2009-03-06,53.8146
2009-03-13,56.6681
2009-03-20,58.0165
2009-03-27,59.045
2009-04-03,64.106
2009-04-09,63.7799
2009-04-17,63.5102
2009-04-24,62.7639
2009-05-01,65.6048
2009-05-08,63.9828
2009-05-15,63.9071
2009-05-22,64.2349
2009-05-29,67.0025
2009-06-05,67.6078
2009-06-12,68.2193
2009-06-19,66.7567
2009-06-26,66.6243
2009-07-02,64.1341
2009-07-10,63.5667
2009-07-17,72.7647
2009-07-24,74.1643
2009-07-31,74.3471
2009-08-07,75.5822
2009-08-14,75.1008
2009-08-21,75.9432
2009-08-28,74.8791
2009-09-04,74.3978
2009-09-11,74.7715
2009-09-18,77.343
2009-09-25,76.6906
2009-10-02,75.3859
2009-10-09,79.7626
2009-10-16,77.0453
2009-10-23,76.2346
2009-10-30,76.3929
2009-11-06,78.5655
2009-11-13,80.8176
2009-11-20,80.7731
2009-11-27,79.9715
2009-12-04,80.9576
2009-12-11,82.5036
2009-12-18,81.3775
2009-12-24,83.0698
2009-12-31,83.2798
2010-01-08,83.248
2010-01-15,83.8396
2010-01-22,79.8442
2010-01-29,77.8656
2010-02-05,78.2346
2010-02-12,79.2459
2010-02-19,81.2846
2010-02-26,81.2654
2010-03-05,81.3229
2010-03-12,81.7639
2010-03-19,81.6169
2010-03-26,82.6075
2010-04-01,81.962
2010-04-09,82.288
2010-04-16,83.483
2010-04-23,83.074
2010-04-30,82.4413
2010-05-07,78.441
2010-05-14,84.2807
2010-05-21,80.5739
2010-05-28,80.4711
2010-06-04,80.4839
2010-06-11,82.5204
2010-06-18,83.6126
2010-06-25,81.666
2010-07-02,78.2868
2010-07-09,82.2056
2010-07-16,82.2506
2010-07-23,82.4755
2010-07-30,82.4883
2010-08-06,84.0237
2010-08-13,82.5581
2010-08-20,82.3192
2010-08-27,80.5308
2010-09-03,82.3709
2010-09-10,82.6356
2010-09-17,84.056
2010-09-24,86.5869
2010-10-01,87.5747
2010-10-08,89.6473
2010-10-15,91.0741
2010-10-22,90.1767
2010-10-29,92.714
2010-11-05,94.8576
2010-11-12,93.2163
2010-11-19,94.0659
2010-11-26,93.3201
2010-12-03,94.2799
2010-12-10,93.9167
2010-12-17,94.0334
2010-12-23,94.6106
2010-12-31,95.1748
2011-01-07,95.9336
2011-01-14,97.276
2011-01-21,100.8427
2011-01-28,103.2487
2011-02-04,106.355
2011-02-11,106.6737
2011-02-18,107.3183
2011-02-25,105.6516
2011-03-04,105.3586
2011-03-11,105.7492
2011-03-18,101.4914
2011-03-25,105.5865
2011-04-01,106.9472
2011-04-08,106.8039
2011-04-15,108.2102
2011-04-21,109.5578
2011-04-29,111.0552
2011-05-06,110.4433
2011-05-13,111.1168
2011-05-20,111.2738
2011-05-27,109.5343
2011-06-03,107.9322
2011-06-10,106.7093
2011-06-17,107.5333
2011-06-24,107.9452
2011-07-01,114.138
2011-07-08,115.4132
2011-07-15,114.7919
2011-07-22,121.0959
2011-07-29,118.9183
2011-08-05,113.1179
2011-08-12,110.4883
2011-08-19,103.4859
2011-08-26,111.1058
2011-09-02,109.6869
2011-09-09,106.0018
2011-09-16,113.6348
2011-09-23,111.2372
2011-09-30,114.8698
2011-10-07,119.8096
2011-10-14,125.1566
2011-10-21,119.3103
2011-10-28,123.1334
2011-11-04,122.4305
2011-11-11,123.5804
2011-11-18,122.1691
2011-11-25,116.7742
2011-12-02,125.0841
2011-12-09,128.3158
2011-12-16,121.0677
2011-12-23,121.8459
2011-12-30,121.2721
2012-01-06,120.3884
2012-01-13,118.1592
2012-01-20,124.3323
2012-01-27,125.6118
2012-02-03,127.709
2012-02-10,127.3977
2012-02-17,128.0598
2012-02-24,130.9332
2012-03-02,131.6284
2012-03-09,132.8268
2012-03-16,136.3954
2012-03-23,136.0445
2012-03-30,138.1433
2012-04-05,136.0379
2012-04-13,134.2701
2012-04-20,132.1514
2012-04-27,136.925
2012-05-04,135.7201
2012-05-11,133.7528
2012-05-18,130.2356
2012-05-25,129.1851
2012-06-01,125.7145
2012-06-08,129.7436
2012-06-15,132.3765
2012-06-22,128.7862
2012-06-29,130.0362
2012-07-06,127.2636
2012-07-13,123.6733
2012-07-20,127.9551
2012-07-27,130.5747
2012-08-03,131.9909
2012-08-10,133.0687
2012-08-17,134.3574
2012-08-24,132.0538
2012-08-31,130.1041
2012-09-07,133.2089
2012-09-14,138.0899
2012-09-21,137.5357
2012-09-28,138.5173
2012-10-05,140.6139
2012-10-12,138.751
2012-10-19,129.1092
2012-10-26,129.0491
2012-11-02,129.1559
2012-11-09,127.1883
2012-11-16,125.3775
2012-11-23,129.7705
2012-11-30,127.4767
2012-12-07,128.7376
2012-12-14,128.6102
2012-12-21,129.7235
2012-12-28,127.3158
2013-01-04,130.1058
2013-01-11,130.4143
2013-01-18,130.4277
2013-01-25,137.4699
2013-02-01,137.6107
2013-02-08,135.8353
2013-02-15,135.3638
2013-02-22,135.4379
2013-03-01,136.6637
2013-03-08,141.6949
2013-03-15,144.7527
2013-03-22,142.8399
2013-03-28,143.6616
2013-04-05,141.0416
2013-04-12,142.3684
2013-04-19,127.9686
2013-04-26,130.8715
2013-05-03,137.7414
2013-05-10,138.3532
2013-05-17,141.0394
2013-05-24,139.199
2013-05-31,140.7553
2013-06-07,139.6253
2013-06-14,136.8172
2013-06-21,132.2566
2013-06-28,129.3132
2013-07-05,131.898
2013-07-12,129.9628
2013-07-19,130.9575
2013-07-26,133.5355
2013-08-02,132.0536
2013-08-09,127.7274
2013-08-16,126.0408
2013-08-23,126.0952
2013-08-30,123.9531
2013-09-06,124.4699
2013-09-13,130.6856
2013-09-20,129.2235
2013-09-27,127.1153
2013-10-04,125.1976
2013-10-11,126.5985
2013-10-18,118.1794
2013-10-25,120.2672
2013-11-01,121.8857
2013-11-08,123.0515
2013-11-15,125.2392
2013-11-22,123.9471
2013-11-29,122.8395
2013-12-06,121.4654
2013-12-13,118.136
2013-12-20,123.072
2013-12-27,126.5313
2014-01-03,127.5978
2014-01-10,128.0217
2014-01-17,129.9564
2014-01-24,122.8122
2014-01-31,120.7886
2014-02-07,121.8373
2014-02-14,126.264
2014-02-21,125.6454
2014-02-28,127.2813
2014-03-07,129.0067
2014-03-14,125.2467
2014-03-21,128.3124
2014-03-28,130.9107
2014-04-04,131.818
2014-04-11,134.1688
2014-04-17,130.6082
2014-04-25,130.347
2014-05-02,131.5912
2014-05-09,131.4156
2014-05-16,129.3276
2014-05-23,128.5533
2014-05-30,127.4609
2014-06-06,128.8506
2014-06-13,126.2165
2014-06-20,125.5182
2014-06-27,125.6288
2014-07-03,130.344
2014-07-11,129.9775
2014-07-18,133.0887
2014-07-25,134.4023
2014-08-01,130.7726
2014-08-08,129.7936
2014-08-15,130.3152
2014-08-22,132.4224
2014-08-29,133.7368
2014-09-05,132.9718
2014-09-12,133.0274
2014-09-19,134.9191
2014-09-26,132.179
2014-10-03,131.2123
2014-10-10,129.3067
2014-10-17,126.6084
2014-10-24,112.72
2014-10-31,114.3335
2014-11-07,113.481
2014-11-14,114.9444
2014-11-21,112.6758
2014-11-28,113.551
2014-12-05,114.3212
2014-12-12,108.7967
2014-12-19,110.9883
2014-12-26,113.67
2015-01-02,113.474
2015-01-09,111.4084
2015-01-16,110.029
2015-01-23,109.1398
2015-01-30,107.3473
2015-02-06,110.5051
2015-02-13,113.1
2015-02-20,115.3916
2015-02-27,114.1858
2015-03-06,111.7602
2015-03-13,108.7847
2015-03-20,114.8486
2015-03-27,113.1
2015-04-02,113.1352
2015-04-10,114.8345
2015-04-17,113.2903
2015-04-24,119.7139
2015-05-01,122.4568
2015-05-08,122.6895
2015-05-15,123.1016
2015-05-22,122.3627
2015-05-29,120.5367
