,dividend
2015-01-01,1.1
2015-04-01,1.3
2015-07-01,1.3
2015-10-01,1.3
2016-01-01,1.3
2016-04-01,1.4
2016-07-01,1.4
2016-10-01,1.4
2017-01-01,1.4
2017-04-01,1.5
2017-07-01,1.5
2017-10-01,1.5
2018-01-01,1.5
2018-04-01,1.57
2018-07-01,1.57
2018-10-01,1.57
2019-01-01,1.57
2019-04-01,1.62
2019-07-01,1.62
2019-10-01,1.62
